university name	location	fees	flag
Carleton University	Ontario	31258	1
Ryserson University	Ontario	27218	1
Saint Mary�s University	"Nova, Scotia"	30650	1
University of San Francisco	San Francisco	32000	1
"University of Nevada, Las Vegas"	Las Vegas	11000	1
Capella University	"Minneapolis, MN"	16000	1
Stanford University	California	36857	1
Columbia University	New York	55740	1
University of California � Berkeley	California	56000	1
Georgetown University	"Washington, D.C."	51000	2
University of Chicago	"Chicago, Illinois"	70000	2
Indiana University Bloomington	Bloomington	43717	2
Louisiana State University	Louisiana	39000	2
University of Massachusetts Amherst	Massachusetts	33000	2
New York University	New York	57200	2
University of Minnesota	Minneapolis	23792	2
Johns Hopkins University	Maryland	55350	2
University of Michigan-Michigan Institute for Data Science	Michigan	42626	2
NC State University Institute for Advanced Analytics	North Carolina	45814	3
St. Thomas University	New Brunswick	41792	3
University of Maryland	Maryland	36891	3
Brandeis University	Massachusetts	75630	3
Arizona State University	Arizona	24604	1
University of California-San Diego	California	31081	1
University of Colorado-Boulder	Colorado	36919	1
University of Florida-Gainesville	Florida	30130	1
Georgia Tech University	Georgia	42300	1
Auburn University	Alabama	26642	2
University of South Florida	Florida	15863	2
Indian University-Bloomington	Indiana	27678	2
University of Michigan- Ann Arbor	Michigan	44946	1
University of Illinois Urbana Champaign	Illinois	44765	1
Harvard University	Massachusetts	71650	1
North Eastern University	Massachusetts	25846	1
North Carolina State University	North Carolina	35059	2
Ohio State University	Ohio	33739	2
University of Minnesota -Twin Cities	Minnesota	25636	2
U Massachusetts - Amherst	Massachusetts	32410	2
University of Washington - Seattle	Washington	31212	2
Virginia Tech University	Virginia	25884	2
Iowa State University	Iowa	22598	2
University of Pittsburgh	Pennsylvania	33000	3
"Rutgers, The State University of NJ"	New Jersey	32300	3
University of California- Riverside	California	30000	3
Mississippi State University	Mississippi	24132	3
University of New Mexico	New Mexico	16117	3
University of Cincinnati	Ohio	26210	3
University of Texas -Dallas	Texas	25452	3
Louisiana State University Baton Rogue	Louisiana	27678	3
University Missouri - Columbia	Missouri	17053	3
Sunny Buffalo	New York	26174	3
Florida International University	Florida	17419	4
Southern Illinois University- Edwardsville	Illinois	14252	4
University of Mass - Dartmouth	Massachusetts	23976	4
Wayne State University	Michigan	28234	4
University of Navada - Reno	Navada	21526	4
Cleveland State University	Ohio	19300	4
Laurence State University	Michigan	20220	4
CSU- San Bernardino	California	14674	4
University of Texas - San Antonio	Texas	19500	4
TAMU- Corpus Christi	Texas	15300	4
University of New Orleans	Louisiana	21992	4
University of Toronto	Ontario	79900	1
University of Waterloo	Ontario	21126	1
University of British Columbia	British Columbia	13428	1
McGill University	Montreal	20374	1
Queen’s University	Ontario	14619	1
University of Alberta	Alberta	14555	2
University of Utah- Salt Lake	Utah	23930	1
McMaster University	Ontario	25640	1
University of Ottawa	Ontario	41278	2
"Dalhousie University, Halifax"	"Nova, Scotia"	14000	2
Simon Fraser University	Burnaby	23760	2
